Area,Course Name,Term,Programme,Professor,Rating,Credits,Course Description
MKTG,MARKETING RESEARCH,SU,MMGT,Russell Belk,4,3,"This course develops students' understanding of basic and advanced market research methods. Students learn to evaluate completed research projects and conduct research studies, developing proficiency in defining research questions, developing research designs, selecting appropriate samples, conducting analysis and writing actionable management reports. Also examined are mobile research, brand maps, social media monitoring/metrics, Big Data, consumer surveillance and data privacy issues. Prerequisite: SB/MKTG 5200 3.00."
MKTG,THE FUNDAMENTALS OF PROD. MANG. & MRKT OF SAAS/TECH PRODUCTS,SU,"MBA,MBAT",Russell Belk,5,3,"The project-based Product Management and Marketing course emphasizes practical learning and a personalized case-study method to acquire essential product management and marketing abilities. This course facilitates grasping one's operating markets and their alignment with the product. By course end, students will adeptly initiate product launches, devise effective go-to-market strategies, and demonstrate skills crucial for securing product management roles, ideally within the tech industry."
MKTG,SOCIAL MEDIA FOR MARKETING AND MANAGEMENT,SU,"MBA,MBAT,MMKG",Mark Silver,5,3,"Social media is changing society, changing the nature of marketing, and changing the way that business is conducted and managed. In this course, students explore the role of social media in the life of the marketer and business manager. It begins with a detailed understanding of the origins, forms, and uses of social media. It expands into an examination and hands-on of the methods for researching and understanding social media. The course then overviews the various uses and forms of social media, ranging web-pages, forums, and blogs to social networking sites. Twitter, wikis and mobile. The course features an applied student project that brings to life the potential and pitfalls of this new marketing and management communications form. Prerequisite: SB/MKTG 5200 3.00."
MKTG,ENTERTAINMENT CULTURE AND MARKETING,SU,"MBA,MMKG",Steve Pulver,4,3,"Using an effective combination of readings, class discussions, real world entertainment marketing cases, and guest speakers, this course develops a managerial and socio-cultural perspective on the marketing of entertainment. Attention is focused on analysing the relationship between the global marketplace and entertainment business decision-making; the determination of entertainment products, services, experiences, prices, channels and communications strategies for licensing, live concerts, sponsorship, entertainment brands, movies, prerecorded music, streaming, nightclubs, and live theatre. Prerequisite: SB/MKTG 5200 3.00."
MKTG,MARKETING METRICS,SU,"MBA,MBAN,MMKG",Joe Fayt,5,3,"This course focuses on developing the analytical skills required to successfully apply the principles of quantitative analysis to the marketing discipline. Students will learn the most common measurement methods currently being used in the marketing field. Prerequisites: SB/MKTG 5200 3.00, SB/ACTG 5100 3.00, SB/FINE 5200 3.00."
MKTG,CREATIVITY IN MARKETING,SU,MMKG,Kelly Parke,3,3,"In the practice of marketing, rapidly changing consumer expectations and experiences, shaped by new and emerging communication technologies require marketers to generate creative solutions to marketing problems. Creativity is now a requirement for marketing effectiveness. This course develops an understanding of the creative process and presents practical applications to enhancing creativity for marketing problems and opportunities."
MMAI,ARTIFICIAL INTELLIGENCE FUNDAMENTALS,SU,"MMAI,MBAN",Hemant Sangwan,3,3,"This course introduces students to the field of artificial intelligence, with a focus on AIdriven business applications. It provides a historical perspective tracing the emergence of basic concepts of contemporary AI. Students learn key artificial intelligence techniques including knowledge representation and symbolic reasoning, biologically inspired approaches to AI, supervised, unsupervised and reinforcement learning, multi-agent systems and natural language processing."
MMAI,DATABASE FUNDAMENTALS,SU,"MMAI,MBAN",Jorge Alejandro Preciado Lopez,4,3,"Database Management Systems are computer-based systems used by organizations to manage the vast amount of data that accompany daily operations, support data analysis, and enable intelligent decision making. This course provides an applied introduction to database management systems and their use in the business environment. The course covers the fundamentals of database analysis and design."
OMIS,OPERATIONS MANAGEMENT,SU,MBA,Laurie Turnbull,5,1.5,"Operations management in both manufacturing and service organizations involves the coordination of complex and dynamic systems of people, technology and materials to achieve competitive objectives. The impact of alternative strategies for delivering quality products in a cost-effective manner is examined. This includes currently popular inventory management philosophies such as `Total Quality Management' and `Just-In-Time' inventory management. Ethical considerations relating to the development of socio-technical systems and environmental implications of TQM will be highlighted."
OMIS,DESIGN AND MANAGMENT OF ORGANIZATIONAL PROCESSES,SU,MSCM,Ed Burns,5,3,"This course examines critically the most important ideas and practices used by organizations to design and implement effective processes. This includes quality, lean, supply chain and project management concepts and technology. Important stakeholders such as customers, employees and suppliers are considered. The goal is to secure the availability of enough sustainably produced, cost effective, quality goods and services. Course Credit Exclusions: SB/MSTM 5210 3.00"
OMIS,MANAGEMENT INFORMATION SYSTEMS,SU,"MACC,GDIA",Divinus Oppong-Tawiah,5,3,"This course acquaints students with the management issues, concepts and terminology associated with information systems technology. With its focus on management issues, the course is of interest to students with either a technical or a non-technical background. Issues discussed include: telecommunications; networks; multimedia; data models and their relation to organization models; systems development processes; and systems theory. Students will learn to recognize the technical and organizational problems generated by introducing new technology and the long-term organizational implications of these decisions. Prerequisite: SB/OMIS 5110 1.50 Prerequisite exempted for students pursuing Schulich Diploma in Intermediate Accounting (DIAc)"
OMIS,PROJECT MANAGEMENT,SU,"MBAN,MMAI,MMGT",David Elsner,5,3,"This course covers the strategic, organizational and operational aspects of managing projects. Students learn to manage the technical, behavioral, political and cultural aspects of temporary groups performing unique tasks. Topics covered include: defining deliverables, formulating project strategy, effective group organization, and management, dynamically allocating resources, managing without authority and resolving conflict. Traditional cost and time management techniques are covered using Microsoft Office and open-source, free project management software. Course Credit Exclusion: SB/MGMT 6700 3.00"
ORGS,NEGOTIATIONS,SU,"MBA,MBAN",Haniyeh Yousofpourfard,4,3,"Provides students with insight into their own negotiation style and how to become a more effective negotiator. The course takes an experiential approach to exploring the concepts, theories, and psychology of negotiations. Students will gain knowledge of the different approaches to negotiations and the strategies and tactics unique to each. The course will provide students with opportunity to learn, practice, and refine negotiation skills as well as equip them with the skills necessary to negotiate constructive resolution to conflict in the workplace. Prerequisite: SB/ORGS 5100 3.00"
ORGS,INTERPERSONAL MANAGERIAL SKILLS,W2,MBA,Stephen Friedman,3,3,"Research demonstrates that people and their ability to work effectively together are critical success factors for organizations. This course focuses on specific personal and interpersonal skills for organizational (and professional) effectiveness. With an emphasis on experiential exercises, the course helps students develop skills such as communication; time, conflict and stress management; performance management; gaining influence; and self-awareness (including emotional intelligence). Prerequisites: SB/ORGS 5100 3.00 and SB/MGMT 6150 3.00 (Previously offered as MGMT 5150 3.00)"
